What would you like for dinner?,dinner
Do you want to grab dinner?,dinner
What is for dinner tonight?,dinner
What do you want to eat for dinner?,dinner
Is it dinner time yet?,dinner
Can you make me dinner?,dinner
What are you making for dinner?,dinner
Are you cooking dinner tonight?,dinner
Are you making dinner?,dinner
Is dinner ready yet?,dinner
Where is everyone going for dinner?,dinner
Who are we eating dinner with?,dinner
Do you want to eat dinner together?,dinner
Who else should we invite for dinner?,dinner
Is anyone else coming to dinner?,dinner
Can I invite someone to dinner with us?,dinner
Did you cook dinner?,dinner
Were you the one who cooked dinner for us?,dinner
What would you like for lunch?,lunch
Do you want to grab lunch?,lunch
What is for lunch?,lunch
What do you want to eat for lunch?,lunch
Is it lunch time yet?,lunch
Can you make me lunch?,lunch
What are you making for lunch?,lunch
Are you cooking lunch?,lunch
Are you making lunch?,lunch
Is lunch ready yet?,lunch
Where is everyone going for lunch?,lunch
Who are we eating lunch with?,lunch
Do you want to eat lunch together?,lunch
Who else should we invite for lunch?,lunch
Is anyone else coming to lunch?,lunch
Can I invite someone to lunch with us?,lunch
Did you cook lunch?,lunch
Were you the one who cooked lunch for us?,lunch
What would you like for breakfast?,breakfast
Do you want to grab breakfast?,breakfast
What is for breakfast?,breakfast
What do you want to eat for breakfast?,breakfast
Is it breakfast time yet?,breakfast
Can you make me breakfast?,breakfast
What are you making for breakfast?,breakfast
Are you cooking breakfast?,breakfast
Are you making breakfast?,breakfast
Is breakfast ready yet?,breakfast
Where is everyone going for breakfast?,breakfast
Who are we eating breakfast with?,breakfast
Do you want to eat breakfast together?,breakfast
Who else should we invite for breakfast?,breakfast
Is anyone else coming to breakfast?,breakfast
Can I invite someone to breakfast with us?,breakfast
Did you cook breakfast?,breakfast
Were you the one who cooked breakfast for us?,breakfast
Where do you want to grab food from?,food
Do you want to eat?,food
What is there to eat?,food
Do you want a snack?,food
Where do you want a snack from?,food
What is your favorite snack to eat?,food
Are there any snacks to eat?,food
What are your favorite snacks to make?,food
Is there anything to eat?,food
Are you going to eat that?,food
Can I eat that?,food
Is that edible?,food
Is that food?,food
Can I have some food?,food
Is there any food for me to eat?,food
Will you leave some food for me later?,food
Is there any food left?,food
Did you guys really eat all the food already?,food
Do you guys want to hangout today?,hangout
Do you guys want to hangout tomorrow?,hangout
Do you guys want to hangout next week?,hangout
What do you guys want to do tomorrow?,hangout
Have you guys decided on what to do tomorrow?,hangout
Is there somewhere you guys would like to go tomorrow?,hangout
Are we hanging out tomorrow?,hangout
Who is coming with us to hangout tomorrow?,hangout
Who is hanging out with us tomorrow?,hangout
Will you be able to drive us to the hangout tomorrow?,hangout
Do you want to meet up?,hangout
Are you free?,hangout
Want to meet up?,hangout
Are you free tonight to hangout?,hangout
When are you free?,hangout
Do you have time to meet up this week?,hangout
Are you doing anything next week?,hangout
Are you busy right now?,hangout
Are you busy next week?,hangout
Do you want company?,hangout
Do you have anything planned for tomorrow?,hangout
Would you like to meet up tomorrow?,hangout
Would you like to hangout with my friend and me tomorrow?,hangout
How was the concert last night?,concert
Did the french horn section play well?,concert
Were there a lot of people at the concert?,concert
Was the concert fun?,concert
Did you fall asleep at the concert?,concert
Did you enjoy the concert last night?,concert
What concert did you go to?, concert
What music was played at the concert?,concert
Have you ever been to a concert before?,concert
Do you enjoy going to concerts?,concert
Would you like to attend the concert with me?,concert
Will you be able to come watch the symphony play?,concert
Will you be able to come watch me play in the band?,concert
Has the concert started yet?,concert
What will you do when the concert ends?,concert
Who was the conductor of the orchestra?,concert
What instrument do you play in the band?,concert
Whose solo did you enjoy the most in the concert?,concert
Is the concert this week or next week?,concert
Is anyone going to the concert next week?,concert
How are people dressing up for the concert?,concert
How much do the concert tickets cost?,concert
